t=2020-02-19T10:38:09+0000 lvl=info msg="no configuration paths supplied"
t=2020-02-19T10:38:09+0000 lvl=info msg="using configuration at default config path" path=/home/ec2-user/.ngrok2/ngrok.yml
t=2020-02-19T10:38:09+0000 lvl=info msg="open config file" path=/home/ec2-user/.ngrok2/ngrok.yml err=nil
t=2020-02-19T10:38:09+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2020-02-19T10:38:09+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2020-02-19T10:38:09+0000 lvl=info msg="client session established" obj=csess id=eeca2ee107c9
t=2020-02-19T10:38:09+0000 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://localhost:3000 url=http://kroco.ngrok.io
t=2020-02-19T10:38:09+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://kroco.ngrok.io
t=2020-02-19T10:38:10+0000 lvl=info msg="update available" obj=updater
t=2020-02-19T10:38:10+0000 lvl=warn msg="failed to open private leg" id=01214ffa9c3f privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:13+0000 lvl=warn msg="failed to open private leg" id=da23b0fdb94b privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:14+0000 lvl=warn msg="failed to open private leg" id=7a1e7839e708 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:16+0000 lvl=warn msg="failed to open private leg" id=3da27a29c786 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:20+0000 lvl=warn msg="failed to open private leg" id=0771053a72e8 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:40:18+0000 lvl=info msg="join connections" obj=join id=9079389b6497 l=127.0.0.1:3000 r=222.117.88.21:65089
t=2020-02-19T10:40:18+0000 lvl=info msg="join connections" obj=join id=33db5a931ce1 l=127.0.0.1:3000 r=222.117.88.21:65090
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=f2a2b0b464f7 l=127.0.0.1:3000 r=222.117.88.21:65090
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=4a025ffe4901 l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=1e60b1e57a26 l=127.0.0.1:3000 r=222.117.88.21:65088
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=2ffe284ce390 l=127.0.0.1:3000 r=222.117.88.21:65089
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=828c3f6a24ca l=127.0.0.1:3000 r=222.117.88.21:65087
t=2020-02-19T10:40:22+0000 lvl=info msg="join connections" obj=join id=d73b69d2dcfa l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:22+0000 lvl=info msg="join connections" obj=join id=dfdafe0727dd l=127.0.0.1:3000 r=222.117.88.21:65088
t=2020-02-19T10:40:22+0000 lvl=info msg="join connections" obj=join id=ab8eecac557a l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:22+0000 lvl=info msg="join connections" obj=join id=b24f1de5e40e l=127.0.0.1:3000 r=222.117.88.21:65088
t=2020-02-19T10:40:28+0000 lvl=info msg="join connections" obj=join id=f3d2c79be0c7 l=127.0.0.1:3000 r=222.117.88.21:65095
t=2020-02-19T10:40:39+0000 lvl=info msg="join connections" obj=join id=9bbb06bc834d l=127.0.0.1:3000 r=222.117.88.21:65097
t=2020-02-19T10:40:40+0000 lvl=info msg="join connections" obj=join id=33dba1933cea l=127.0.0.1:3000 r=222.117.88.21:65097
t=2020-02-19T10:40:44+0000 lvl=info msg="join connections" obj=join id=ed4a8533019a l=127.0.0.1:3000 r=222.117.88.21:65097
t=2020-02-19T10:43:41+0000 lvl=info msg="join connections" obj=join id=0f711104eec8 l=127.0.0.1:3000 r=222.117.88.21:65145
t=2020-02-19T10:43:41+0000 lvl=info msg="join connections" obj=join id=bf95694e8060 l=127.0.0.1:3000 r=222.117.88.21:65145
t=2020-02-19T10:43:42+0000 lvl=info msg="join connections" obj=join id=f0ca1f4dadd6 l=127.0.0.1:3000 r=222.117.88.21:65146
t=2020-02-19T10:43:42+0000 lvl=info msg="join connections" obj=join id=09ad57a396e6 l=127.0.0.1:3000 r=222.117.88.21:65145
t=2020-02-19T10:43:42+0000 lvl=info msg="join connections" obj=join id=19ef46b6e55b l=127.0.0.1:3000 r=222.117.88.21:65146
t=2020-02-19T10:43:42+0000 lvl=info msg="join connections" obj=join id=bedd7fc59d7f l=127.0.0.1:3000 r=222.117.88.21:65145
t=2020-02-19T10:43:57+0000 lvl=info msg="join connections" obj=join id=1b0a79a6a56c l=127.0.0.1:3000 r=222.117.88.21:65151
t=2020-02-19T10:43:57+0000 lvl=info msg="join connections" obj=join id=786215be8bfc l=127.0.0.1:3000 r=222.117.88.21:65151
t=2020-02-19T10:44:08+0000 lvl=info msg="join connections" obj=join id=eb32a349d58c l=127.0.0.1:3000 r=222.117.88.21:65156
t=2020-02-19T10:44:08+0000 lvl=info msg="join connections" obj=join id=987f8328a212 l=127.0.0.1:3000 r=222.117.88.21:65156
t=2020-02-19T10:44:13+0000 lvl=info msg="join connections" obj=join id=50c4a03106de l=127.0.0.1:3000 r=222.117.88.21:65156
t=2020-02-19T10:44:14+0000 lvl=info msg="join connections" obj=join id=55c9b5359347 l=127.0.0.1:3000 r=222.117.88.21:65160
t=2020-02-19T10:44:14+0000 lvl=info msg="join connections" obj=join id=63d66fd6749d l=127.0.0.1:3000 r=222.117.88.21:65159
t=2020-02-19T10:44:14+0000 lvl=info msg="join connections" obj=join id=c545f1e0fd03 l=127.0.0.1:3000 r=222.117.88.21:65161
t=2020-02-19T10:44:14+0000 lvl=info msg="join connections" obj=join id=3affd9ba558e l=127.0.0.1:3000 r=222.117.88.21:65156
t=2020-02-19T10:44:14+0000 lvl=info msg="join connections" obj=join id=965a8047be90 l=127.0.0.1:3000 r=222.117.88.21:65161
t=2020-02-19T10:44:14+0000 lvl=info msg="join connections" obj=join id=574cb0306f1f l=127.0.0.1:3000 r=222.117.88.21:65161
t=2020-02-19T10:44:15+0000 lvl=info msg="join connections" obj=join id=6bfd9af6398d l=127.0.0.1:3000 r=222.117.88.21:65156
t=2020-02-19T10:44:15+0000 lvl=info msg="join connections" obj=join id=c06ce2840aef l=127.0.0.1:3000 r=222.117.88.21:65161
t=2020-02-19T10:45:17+0000 lvl=info msg="join connections" obj=join id=c4bd7f6a301a l=127.0.0.1:3000 r=222.117.88.21:65226
t=2020-02-19T10:47:34+0000 lvl=info msg="join connections" obj=join id=bdf42ee2b007 l=127.0.0.1:3000 r=222.117.88.21:65394
t=2020-02-19T10:47:35+0000 lvl=info msg="join connections" obj=join id=64a86a98c21a l=127.0.0.1:3000 r=222.117.88.21:65394
t=2020-02-19T10:47:38+0000 lvl=info msg="join connections" obj=join id=827cb221e11a l=127.0.0.1:3000 r=222.117.88.21:65394
t=2020-02-19T10:47:52+0000 lvl=info msg="join connections" obj=join id=cd86e52c6f29 l=127.0.0.1:3000 r=222.117.88.21:65415
t=2020-02-19T10:48:05+0000 lvl=info msg="join connections" obj=join id=626f6faf200b l=127.0.0.1:3000 r=222.117.88.21:65428
t=2020-02-19T10:48:10+0000 lvl=info msg="join connections" obj=join id=80d07ecba7cd l=127.0.0.1:3000 r=222.117.88.21:65428
t=2020-02-19T10:48:11+0000 lvl=info msg="join connections" obj=join id=16316ce55e7b l=127.0.0.1:3000 r=222.117.88.21:65428
t=2020-02-19T10:49:54+0000 lvl=info msg="join connections" obj=join id=bf375d7f1c7d l=127.0.0.1:3000 r=222.117.88.21:49168
t=2020-02-19T10:49:54+0000 lvl=info msg="join connections" obj=join id=8cee95be7bc8 l=127.0.0.1:3000 r=222.117.88.21:49168
t=2020-02-19T10:50:00+0000 lvl=info msg="join connections" obj=join id=dc03c2de8c09 l=127.0.0.1:3000 r=222.117.88.21:49176
t=2020-02-19T10:50:00+0000 lvl=info msg="join connections" obj=join id=b09d85872ab2 l=127.0.0.1:3000 r=222.117.88.21:49176
t=2020-02-19T10:50:01+0000 lvl=info msg="join connections" obj=join id=a2e5fba350d6 l=127.0.0.1:3000 r=222.117.88.21:49176
t=2020-02-19T10:50:06+0000 lvl=info msg="join connections" obj=join id=555c9f9d212f l=127.0.0.1:3000 r=222.117.88.21:49185
t=2020-02-19T10:50:10+0000 lvl=info msg="join connections" obj=join id=4f4d389be5df l=127.0.0.1:3000 r=222.117.88.21:49185
t=2020-02-19T10:50:11+0000 lvl=info msg="join connections" obj=join id=c9a4521f5407 l=127.0.0.1:3000 r=222.117.88.21:49185
t=2020-02-19T10:50:17+0000 lvl=info msg="join connections" obj=join id=edca6dc25d84 l=127.0.0.1:3000 r=222.117.88.21:49197
t=2020-02-19T10:50:17+0000 lvl=info msg="join connections" obj=join id=a21d3dfac516 l=127.0.0.1:3000 r=222.117.88.21:49197
t=2020-02-19T10:52:33+0000 lvl=info msg="join connections" obj=join id=eb4ffee136b6 l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:33+0000 lvl=info msg="join connections" obj=join id=5fa9bcee7abb l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:33+0000 lvl=info msg="join connections" obj=join id=899e60c78d57 l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:33+0000 lvl=info msg="join connections" obj=join id=99f436f49feb l=127.0.0.1:3000 r=222.117.88.21:49340
t=2020-02-19T10:52:33+0000 lvl=info msg="join connections" obj=join id=f9500b3e5122 l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:33+0000 lvl=info msg="join connections" obj=join id=3213497ffde5 l=127.0.0.1:3000 r=222.117.88.21:49340
t=2020-02-19T10:52:34+0000 lvl=info msg="join connections" obj=join id=9a3393557890 l=127.0.0.1:3000 r=222.117.88.21:49341
t=2020-02-19T10:52:34+0000 lvl=info msg="join connections" obj=join id=a86c53946471 l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:34+0000 lvl=info msg="join connections" obj=join id=d415f6a1dd48 l=127.0.0.1:3000 r=222.117.88.21:49343
t=2020-02-19T10:52:34+0000 lvl=info msg="join connections" obj=join id=74f69cd5bb50 l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:34+0000 lvl=info msg="join connections" obj=join id=7c3491b7fe26 l=127.0.0.1:3000 r=222.117.88.21:49340
t=2020-02-19T10:52:34+0000 lvl=info msg="join connections" obj=join id=7c20f09d3197 l=127.0.0.1:3000 r=222.117.88.21:49343
t=2020-02-19T10:52:35+0000 lvl=info msg="join connections" obj=join id=e0fc278171a1 l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:38+0000 lvl=info msg="join connections" obj=join id=bc6de011b436 l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:52:44+0000 lvl=info msg="join connections" obj=join id=e7bef0fc403f l=127.0.0.1:3000 r=222.117.88.21:49338
t=2020-02-19T10:54:33+0000 lvl=info msg="join connections" obj=join id=c9a8087a2b37 l=127.0.0.1:3000 r=222.117.88.21:49470
